id,id_paper,keyword
0,2,Training
1,2,Deep learning
2,2,Visualization
3,2,Vegetation mapping
4,2,Manuals
5,2,Sensor phenomena and characterization
6,2,Cameras
7,2,Deep Learning
8,2,Unmanned Aerial Vehicles
9,2,Non-linear Co-registration
10,2,Neural Network
11,2,Multispectral Images
12,2,Displacement Field
13,2,Medium Altitude
14,2,Training Set
15,2,Convolutional Neural Network
16,2,Validation Set
17,2,Convolutional Layers
18,2,Feature Maps
19,2,Image Segmentation
20,2,Visual Analysis
21,2,Vector Field
22,2,Red Edge
23,2,Ground Sampling Distance
24,2,Unmanned Aerial Vehicle Flight
25,2,Green Edges
26,3,Performance evaluation
27,3,Power transmission lines
28,3,Transmission line matrix methods
29,3,Fault detection
30,3,Power transmission
31,3,Companies
32,3,Benchmark testing
33,3,Public Datasets
34,3,Transmission Line
35,3,Transmission Power
36,3,Power Line
37,3,Data Augmentation
38,3,Mean Average Precision
39,3,Egg Collection
40,3,Faster R-CNN
41,3,Data Augmentation Techniques
42,3,Faster R-CNN Model
43,3,Training Set
44,3,Deep Learning
45,3,Visual Inspection
46,3,Fine-tuned
47,3,Video Recordings
48,3,Object Detection
49,3,Intersection Over Union
50,3,Creative Process
51,3,Unmanned Aerial Vehicles
52,3,High-quality Images
53,3,COCO Dataset
54,3,Technical Team
55,3,Image Annotation
56,3,Area Detector
57,3,Percentage Of Images
58,3,Lack Of Datasets
59,4,Training
60,4,Image segmentation
61,4,Rain
62,4,Planets
63,4,Biological system modeling
64,4,Forestry
65,4,Public policy
66,4,Tropical Forests
67,4,Deforestation Detection
68,4,Training Set
69,4,Machine Learning Methods
70,4,Classification Results
71,4,Biosphere
72,4,Monitoring Program
73,4,Ensemble Method
74,4,Balanced Accuracy
75,4,Relative Gain
76,4,Criminal Sanctions
77,4,Forest Cover Change
78,4,Deforested Areas
79,4,Neural Network
80,4,Support Vector Machine
81,4,Artificial Neural Network
82,4,Decision Tree
83,4,Small Datasets
84,4,Aggregation Scheme
85,4,Training Area
86,4,Single Class
87,4,Landsat Satellite
88,4,Artificial Neural Network Classifier
89,4,Official Program
90,4,Linear Kernel
91,4,Deep Learning Architectures
92,4,Base Classifiers
93,4,Baseline Methods
94,5,Support vector machines
95,5,Training
96,5,Radio frequency
97,5,Deep learning
98,5,Satellites
99,5,Machine learning algorithms
100,5,Benchmark testing
101,5,Few-shot Learning
102,5,High Spatial Resolution Datasets
103,5,Spatial Resolution
104,5,Training Set
105,5,Learning Algorithms
106,5,Land Use
107,5,Support Vector Machine
108,5,Random Forest
109,5,Deep Neural Network
110,5,Classification Task
111,5,Traditional Machine Learning
112,5,Land Use/land Cover
113,5,Blue Band
114,5,Traditional Machine Learning Algorithms
115,5,Panchromatic Band
116,5,Smart Approach
117,5,Convolutional Neural Network
118,5,Validation Set
119,5,Machine Learning Models
120,5,Feature Space
121,5,Machine Learning Classification Algorithms
122,5,Normalized Difference Vegetation Index
123,5,Enhanced Vegetation Index
124,5,Soil Adjusted Vegetation Index
125,5,Operational Land Imager
126,5,Enhanced Thematic Mapper
127,5,Machine Learning Classifiers
128,5,Deep Learning Models
129,5,HSV Color
130,5,Vegetation Index
131,6,Training
132,6,Deep learning
133,6,Graphics
134,6,Analytical models
135,6,Neural networks
136,6,Robustness
137,6,Data models
138,6,Neural Network
139,6,Convolutional Neural Network
140,6,Data Augmentation
141,6,Presence Of Network
142,6,Convolutional Neural Network Training
143,6,Noisy Labels
144,6,Presence Of Noisy Labels
