id,id_paper,keyword
0,0,Rendering (computer graphics)
1,0,Computational geometry
2,0,Visualization
3,0,Surface fitting
4,0,Image processing
5,0,Access control
6,1,Deformable models
7,1,Tensile stress
8,1,Surface resistance
9,1,Differential equations
10,1,Vectors
11,1,Lagrangian functions
12,1,Partial differential equations
13,1,Computer industry
14,1,Automation
15,1,Mathematics
16,2,Image reconstruction
17,2,Surface reconstruction
18,2,Layout
19,2,Laser modes
20,2,Reflectivity
21,2,Filling
22,2,Clouds
23,2,Least squares methods
24,2,Information geometry
25,2,Sampling methods
26,3,Least squares approximation
27,3,Surface reconstruction
28,3,Least squares methods
29,3,Three-dimensional displays
30,3,Multiresolution analysis
31,3,Scattering
32,3,Computational geometry
33,3,Image reconstruction
34,3,Greedy algorithms
35,3,Clustering algorithms
36,4,Clustering algorithms
37,4,Data structures
38,4,Topology
39,4,Surface reconstruction
40,4,Computer graphics
41,4,Redundancy
42,4,Decoding
43,4,Application software
44,4,Reconstruction algorithms
45,4,Computational modeling
46,5,Computer graphics
47,5,Digital arithmetic
48,5,TV
49,5,Layout
50,5,Ray tracing
51,5,Visualization
52,5,Computer architecture
53,5,Robustness
54,5,Production
55,5,Image generation
56,6,Surface reconstruction
57,6,Robustness
58,6,Iterative algorithms
59,6,Application software
60,6,Solid modeling
61,6,Computer graphics
62,6,Space technology
63,6,Reconstruction algorithms
64,6,Topology
65,6,Photography
66,7,Surface reconstruction
67,7,Surface morphology
68,7,Tensile stress
69,7,Shape
70,7,Computer graphics
71,7,Uncertainty
72,7,Image reconstruction
73,7,Robustness
74,7,Noise shaping
75,7,Application software
76,8,Data visualization
77,8,Computer industry
78,8,Automation
79,8,Computer graphics
80,8,Geographic Information Systems
81,8,Sampling methods
82,8,Displays
83,8,Data mining
84,8,Feature extraction
85,9,Fractals
86,9,Stochastic processes
87,9,Geometry
88,9,Shape
89,9,Image generation
90,9,Polynomials
91,9,Equations
92,9,Clouds
93,9,Feedback
94,9,Biological system modeling
95,10,Spline
96,10,Surface waves
97,10,Three dimensional displays
98,10,Graphics
99,10,Topology
100,10,Surface topography
101,10,Surface reconstruction
102,10,Hardware
103,10,Motion pictures
104,10,Production
105,11,Virtual prototyping
106,11,Java
107,11,Computer graphics
108,11,Computational modeling
