id,title,year
0,Sistema programacional para terminais gráficos inteligentes ,1989
1,PN25 - Um processo de alto desempenho para microcomputador do tipo PC e sua aplicação em processamento de imagens ,1989
2,Concepção e aplicações da família de estações gráficas EG-880X ,1989
3,Módulo de aquisição de imagens coloridas ,1989
4,O terminal gráfico DATANAV para console radar ,1989
5,Desenvolvimento de software de apoio para um sistema digitalizador de imagens ,1989
6,"Sistema de aquisição, processamento e visualização de imagens e gráficos ",1989
7,A SIMD system for image processing ,1989
8,Estações de trabalho baseadas no Sistema PP ,1989
9,O Processador Gráfico TMS34010 – Uma arquitetura para a visualização de imagem em tomografia por RMN ,1989
10,Implementação de software de apoio para um controlador avançado de vídeo ,1989
11,Introdução de Paralelismo nas Estações Gráficas EG-880X ,1989
12,Uma metodologia para densificação de grade regular retangular ,1989
13,Representação de arcos por curvas de Bezier ,1989
14,Determinação de curvas de nível em terrenos representados por superfícies bicúbicas ,1989
15,SCRIPTS: a computer animation system ,1989
16,Agilização na reconstrução de imagens utilizando método direto de Fourier e Array Processor ,1989
17,Automatic coronary artery w all contour detection ,1989
18,Avaliação da tomografia miocárdica por emissão de fóton único ,1989
19,Método da máxima entropia para reconstrução de imagens ,1989
20,Deteção de crescimento de bancos de areia em canais fluviais utilizando um sistema de informações geográficas ,1989
21,Um sistema para o processamento e análise de lineamentos ,1989
22,Programação lógica na modelagem de sólidos ,1989
23,Ferramentas para especificação e controle da interface com o usuário do Sistema AMPLO ,1989
24,Desenvolvimento de um banco de dados interativo com elementos gerados por varredura para um sistema CAD ,1989
25,Optimização do trajecto de corte em mapas de formas irregulares ,1989
26,Análise de texturas em imagens de radar usando modelos ARMA ,1989
27,GKS-VW: uma proposta para utilização de janelas no GKS ,1989
28,"Computação Gráfica, Compugrafia ou Compugráfica? Contribuição para uma terminologia em Português mais racional e consensual no domínio das aplicações gráficas por computador ",1989
29,O desenvolvimento de um padrão gráfico GKS ,1989
30,Implementação de uma interface gráfica – CGI ,1989
31,A system environment for knowledge based image analysis ,1989
32,Tratamento digital de imagens II: uma aplicação Metalografica ,1989
33,Display de dos niveles de intensidad para imagenes de intensidad continua ,1989
34,Métodos de interpolação para aplicação em imagens digitalizadas ,1989
35,Sistema de geração de imagens micro-ópticas por computador ,1989
36,FFTEX - Um sistema especialista para o cálculo de transformadas rápidas de Fourier em uma e duas dimensões ,1989
37,Um sistema de processamento de imagens para tomografia computadorizada por RNM ,1989
38,Aceleração do Método “Ray-Tracing” ,1989
39,RETRISE: um sistema para reconstrução de formas 3D a partir de cortes seriais ,1989
40,Um ambiente para síntese de imagens realísticas baseado na metodologia ray-tracing ,1989
41,PROSIN – Projeto em síntese de imagens ,1989
42,S.C.A. – Sistema de Cartografia Automatizada ,1989
43,POS2D: um programa gráfico de apoio de análise de estruturas bi-dimensionais e axissimétricas ,1989
44,MICRO-MAGICS: meteorological graphics on microcomputers ,1989
45,CADIN um Sistema de CAD para a indústria de confecções têxteis ,1989
46,Um Sistema de Edição de Diagramas (SED) ,1989
47,Projeto lógico do sistema de pintura pintor ,1989
48,Software básico para criação de diagramadores com utilitários integrados ,1989
49,Sistema CMP - Construção e Manipulação de Poliedros ,1989
50,Editor gráfico interativo de redes EGIDE ,1989
51,Duas técnicas de filtragem espacial para simular a resolução espacial ao nadir do Satélite de Sensoriamento Remoto Brasileiro (SSR) ,1989
52,A discriminação de texturas usando uma representação simbólica para dados visuais ,1989
53,Análise dinâmica de estruturas através de processamento de imagens ,1989
54,Um sistema para reconhecimento de formas características em objetos com simetria axial ,1989
55,Programa para determinação de contornos de objetos a partir de suas projeções programa de simulação de dados de projeção ,1989
